"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","title"
"nu[2,12]",-1.02904149771073,0.0114729792573924,1.02094696976962,-3.32238067033082,-1.69926612951038,-0.865144720250712,-0.185191614501496,0.397026547541766,7918.70113219141,0.99994319767271,"nu[2,12]"
"nu[2,13]",-0.718273909580027,0.0136918272982738,1.17025634346736,-3.72842253715332,-1.24488268684108,-0.417287768665982,0.0157030293269495,1.00659266403129,7305.31896407215,1.00000060516853,"nu[2,13]"
"nu[2,14]",-0.247582293571516,0.00526724844112745,0.634390048674294,-1.63117098574587,-0.609191908530233,-0.17979898762533,0.108168234326138,0.995376023044392,14505.9146256489,0.999913597660217,"nu[2,14]"
"nu[2,15]",-0.0282494060485535,0.00705709916558939,0.652670415646562,-1.34211909022829,-0.4035155574278,-0.0211723457911834,0.317639784834828,1.36829660919253,8553.33367105935,0.999986091412522,"nu[2,15]"
"delta[1,1,1]",-0.345352121380985,0.00618591027936304,0.686762799767361,-1.85583717359102,-0.687516847799599,-0.256419999857726,0.0284692947600578,0.909843140870671,12325.5495392755,0.999916480312119,"delta[1,1,1]"
"delta[1,1,2]",0.000384948086184547,0.0130864345055962,1.08839780017883,-2.29517990983923,-0.581223398399265,0.00761590541950342,0.602012707971576,2.19595558317028,6917.23672741793,0.999933714186455,"delta[1,1,2]"
"delta[1,1,3]",0.01225415298015,0.0127304951859854,1.68898099964334,-3.4502459859907,-0.828291289325106,0.0031124549432063,0.838980384285737,3.45960535687281,17601.8750564854,1.00006043281028,"delta[1,1,3]"
"delta[1,2,1]",0.00312841583078457,0.00894687732947926,1.08913998915042,-2.20345631594711,-0.367952298153942,0.000585198550566255,0.379943207965103,2.25135555692822,14819.1891880155,0.999947047485516,"delta[1,2,1]"
"delta[1,2,2]",0.531430838134824,0.00526719608482209,0.660694201425514,-0.691481369390082,0.0829515916274568,0.493997082829123,0.934927045793225,1.92184982153882,15734.1040459751,0.999982457022838,"delta[1,2,2]"
"delta[1,2,3]",-0.00374628616785346,0.0131441494092919,1.72139231242762,-3.58612373185879,-0.829433389269505,0.000457845002161623,0.844489258859234,3.50689207094493,17151.2091946071,1.00030702080618,"delta[1,2,3]"
"delta[1,3,1]",0.00612452593455462,0.00825773866467081,1.08963073507748,-2.18893893855019,-0.375294380882509,0.000204352842070399,0.385529619562164,2.22053352773004,17411.5093608045,0.999958567628513,"delta[1,3,1]"
"delta[1,3,2]",-0.00879243224575709,0.00862599645866837,1.07969532162196,-2.20785561351201,-0.592003404514809,-0.00905101876946078,0.591216568551471,2.18727711888935,15666.92946193,1.00010741277005,"delta[1,3,2]"
"delta[1,3,3]",-1.09344459197047,0.00797624233734697,0.998211462815597,-3.21552226469516,-1.66040652395193,-1.04669358142091,-0.451253424223435,0.737775704428603,15662.043455335,1.00002410972698,"delta[1,3,3]"
"delta[1,4,1]",0.0210198383151409,0.00892698934596234,1.11206187662748,-2.13068849823392,-0.371603961374784,0.00311629004274614,0.397866329570747,2.29520484753324,15518.4332453437,1.00030392691756,"delta[1,4,1]"
"delta[1,4,2]",-1.13250663831738,0.00683716747275831,0.681268326485445,-2.42265660656759,-1.59213039939443,-1.16011624874357,-0.684443597626362,0.163347647849396,9928.50732859828,0.999979902058489,"delta[1,4,2]"
"delta[1,4,3]",1.09585008219607,0.00741083881865617,0.898239994533772,-0.458882878968404,0.535732914587568,1.01552643268986,1.5774520830211,3.10541571538085,14690.9554306085,0.999899522512459,"delta[1,4,3]"
